"free sulfur dioxide","total sulfur dioxide"
"45","170"
"14","132"
"30","97"
"47","186"
"47","186"
"30","97"
"30","136"
"45","170"
"14","132"
"28","129"
"11","63"
"17","109"
"16","75"
"48","143"
"41","172"
"28","112"
"30","99"
"29","75"
"17","171"
"34","133"
"29","75"
"19","102"
"41","122"
"25","168"
"16","142"
"56","245"
"35","146"
"32","141"
"17","132"
"37","114"
"20","142"
"7","47"
"31","100"
"43","117"
"22","179"
"21","123"
"25","149"
"38","138"
"45","149"
"45","149"
"63","158"
"63","157"
"28","160"
"33","152"
"33","154"
"38","167"
"63","206"
"62","207"
"28","160"
"32","150"
"31","173"
"39","124"
"21","82"
"39","108"
"38","132"
"29","191"
"37","213"
"50","147"
"25","78"
"44","111"
"30","123"
"50","147"
"17","151"
"25","78"
"31","122"
"29","120"
"27","124"
"81","174"
"30","96"
"21","105"
"48","244"
"50.5","238.5"
"31","201"
"9","72"
"30","96"
"21","105"
"31","87"
"20","69"
"26","103"
"21","105"
"34","114"
"51","166"
"47","164"
"42","207"
"54","155"
"52","152"
"55","156"
"69","202"
"54","155"
"52","152"
"55","156"
"65","243"
"47","136"
"48","136"
"51","148"
"62","240"
"26","164"
"15","80"
"4","83"
"26","164"
"52","192"
"64","162"
"55","164"
"44","170"
"52","192"
"34","109"
"64","162"
"60","171"
"60","171"
"37","187"
"64","163"
"45","255"
"68","195"
"29","150"
"29","150"
"8","103"
"25","143"
"16","85"
"68","195"
"57","196"
"21","87"
"42","138"
"31","131"
